solution_id,distance,max_workload,relocated_offices
0,154.615221487796,2.0,0
1,154.615221487796,1.99,0
2,154.615221487796,1.98,0
3,154.615221487796,1.97,0
4,154.615221487796,1.96,0
5,154.615221487796,1.95,0
6,154.615221487796,1.94,0
7,154.615221487796,1.93,0
8,154.615221487796,1.92,0
9,154.615221487796,1.91,0
10,154.615221487796,1.9,0
11,154.615221487796,1.89,0
12,154.615221487796,1.88,0
13,154.615221487796,1.8699999999999999,0
14,154.615221487796,1.8599999999999999,0
15,154.615221487796,1.85,0
16,154.615221487796,1.84,0
17,154.615221487796,1.83,0
18,154.615221487796,1.82,0
19,154.615221487796,1.81,0
20,154.615221487796,1.8,0
21,154.615221487796,1.79,0
22,154.615221487796,1.78,0
23,154.615221487796,1.77,0
24,154.615221487796,1.76,0
25,154.615221487796,1.75,0
26,154.615221487796,1.74,0
27,154.615221487796,1.73,0
28,154.615221487796,1.72,0
29,154.615221487796,1.71,0
30,154.615221487796,1.7,0
31,154.615221487796,1.69,0
32,154.615221487796,1.68,0
33,154.615221487796,1.67,0
34,154.615221487796,1.66,0
35,154.615221487796,1.65,0
36,154.615221487796,1.64,0
37,154.615221487796,1.63,0
38,154.615221487796,1.6199999999999999,0
39,154.615221487796,1.6099999999999999,0
40,154.615221487796,1.6,0
41,154.615221487796,1.59,0
42,154.615221487796,1.58,0
43,154.615221487796,1.57,0
44,154.615221487796,1.56,0
45,154.615221487796,1.55,0
46,154.615221487796,1.54,0
47,154.615221487796,1.53,0
48,154.615221487796,1.52,0
49,154.615221487796,1.51,0
50,154.615221487796,1.5,0
51,154.615221487796,1.49,0
52,154.615221487796,1.48,0
53,154.615221487796,1.47,0
54,154.615221487796,1.46,0
55,154.615221487796,1.45,0
56,154.615221487796,1.44,0
57,154.615221487796,1.43,0
58,154.615221487796,1.42,0
59,154.615221487796,1.41,0
60,154.615221487796,1.4,0
61,154.615221487796,1.39,0
62,154.615221487796,1.38,0
63,154.615221487796,1.3699999999999999,0
64,154.615221487796,1.3599999999999999,0
65,154.615221487796,1.35,0
66,154.615221487796,1.34,0
67,154.615221487796,1.33,0
68,154.615221487796,1.32,0
69,154.615221487796,1.31,0
70,154.615221487796,1.3,0
71,154.615221487796,1.29,0
72,154.615221487796,1.28,0
73,154.615221487796,1.27,0
74,154.615221487796,1.26,0
75,154.615221487796,1.25,0
76,154.615221487796,1.24,0
77,154.615221487796,1.23,0
78,154.615221487796,1.22,0
79,154.615221487796,1.21,0
80,154.615221487796,1.2,0
81,154.615221487796,1.19,0
82,154.615221487796,1.18,0
83,154.615221487796,1.17,0
84,154.615221487796,1.16,0
85,154.615221487796,1.15,0
86,154.615221487796,1.14,0
87,154.615221487796,1.13,0
88,154.615221487796,1.1199999999999999,0
89,156.70732400284996,1.1099999999999999,0
90,156.70732400284996,1.1,0
91,156.70732400284996,1.09,0
92,162.6305634151781,1.08,0
93,166.5335545841666,1.07,0
94,166.5335545841666,1.06,0
95,166.5335545841666,1.05,0
96,177.3773697320585,1.04,0
97,182.8394356074763,1.03,0
98,182.8394356074763,1.02,0
99,182.8394356074763,1.01,0
100,106.7132327169449,2.0,1
101,106.7132327169449,1.99,1
102,106.7132327169449,1.98,1
103,106.7132327169449,1.97,1
104,106.7132327169449,1.96,1
105,106.7132327169449,1.95,1
106,106.7132327169449,1.94,1
107,106.7132327169449,1.93,1
108,106.7132327169449,1.92,1
109,106.7132327169449,1.91,1
110,106.7132327169449,1.9,1
111,106.7132327169449,1.89,1
112,106.7132327169449,1.88,1
113,106.7132327169449,1.8699999999999999,1
114,106.7132327169449,1.8599999999999999,1
115,106.7132327169449,1.85,1
116,106.7132327169449,1.84,1
117,106.7132327169449,1.83,1
118,106.7132327169449,1.82,1
119,106.7132327169449,1.81,1
120,106.7132327169449,1.8,1
121,106.7132327169449,1.79,1
122,106.7132327169449,1.78,1
123,106.7132327169449,1.77,1
124,106.7132327169449,1.76,1
125,106.7132327169449,1.75,1
126,106.7132327169449,1.74,1
127,106.7132327169449,1.73,1
128,106.7132327169449,1.72,1
129,106.7132327169449,1.71,1
130,106.7132327169449,1.7,1
131,106.7132327169449,1.69,1
132,106.7132327169449,1.68,1
133,106.7132327169449,1.67,1
134,106.7132327169449,1.66,1
135,106.7132327169449,1.65,1
136,106.7132327169449,1.64,1
137,106.7132327169449,1.63,1
138,106.7132327169449,1.6199999999999999,1
139,106.7132327169449,1.6099999999999999,1
140,106.7132327169449,1.6,1
141,106.7132327169449,1.59,1
142,106.7132327169449,1.58,1
143,106.7132327169449,1.57,1
144,106.7132327169449,1.56,1
145,106.7132327169449,1.55,1
146,106.7132327169449,1.54,1
147,106.7132327169449,1.53,1
148,106.7132327169449,1.52,1
149,106.7132327169449,1.51,1
150,106.7132327169449,1.5,1
151,106.7132327169449,1.49,1
152,106.7132327169449,1.48,1
153,106.7132327169449,1.47,1
154,106.7132327169449,1.46,1
155,106.7132327169449,1.45,1
156,106.7132327169449,1.44,1
157,106.7132327169449,1.43,1
158,106.7132327169449,1.42,1
159,106.7132327169449,1.41,1
160,106.7132327169449,1.4,1
161,106.7132327169449,1.39,1
162,106.7132327169449,1.38,1
163,106.7132327169449,1.3699999999999999,1
164,106.7132327169449,1.3599999999999999,1
165,106.7132327169449,1.35,1
166,106.7132327169449,1.34,1
167,106.7132327169449,1.33,1
168,106.7132327169449,1.32,1
169,106.7132327169449,1.31,1
170,106.7132327169449,1.3,1
171,106.7132327169449,1.29,1
172,106.7132327169449,1.28,1
173,106.7132327169449,1.27,1
174,106.7132327169449,1.26,1
175,106.7132327169449,1.25,1
176,106.7132327169449,1.24,1
177,106.7132327169449,1.23,1
178,106.7132327169449,1.22,1
179,106.7132327169449,1.21,1
180,106.7132327169449,1.2,1
181,106.7132327169449,1.19,1
182,106.7132327169449,1.18,1
183,106.7132327169449,1.17,1
184,106.7132327169449,1.16,1
185,106.7132327169449,1.15,1
186,106.7132327169449,1.14,1
187,106.7132327169449,1.13,1
188,106.7132327169449,1.1199999999999999,1
189,108.80533523199884,1.1099999999999999,1
190,108.80533523199884,1.1,1
191,108.80533523199884,1.09,1
192,112.62476118814024,1.08,1
193,112.916199755518,1.07,1
194,112.916199755518,1.06,1
195,112.916199755518,1.05,1
196,114.94458093965926,1.04,1
197,114.94458093965926,1.03,1
198,114.94458093965926,1.02,1
199,114.94458093965926,1.01,1
200,105.05653000684552,1.1149,2
201,107.14863252189946,1.0866,2
202,110.13089795280743,1.0706,2
203,111.07508878302883,1.0439,2
204,111.7905994757414,1.0068000000000001,2
205,103.62671041188815,1.1307,3
206,105.05653000684549,1.1149,3
207,106.59785544391693,1.0866,3
208,109.97316061826024,1.0439,3
209,110.97119752528228,1.0068000000000001,3
210,103.56395980541879,2.0,4
211,103.56395980541879,1.99,4
212,103.56395980541879,1.98,4
213,103.56395980541879,1.97,4
214,103.56395980541879,1.96,4
215,103.56395980541879,1.95,4
216,103.56395980541879,1.94,4
217,103.56395980541879,1.93,4
218,103.56395980541879,1.92,4
219,103.56395980541879,1.91,4
220,103.56395980541879,1.9,4
221,103.56395980541879,1.89,4
222,103.56395980541879,1.88,4
223,103.56395980541879,1.8699999999999999,4
224,103.56395980541879,1.8599999999999999,4
225,103.56395980541879,1.85,4
226,103.56395980541879,1.84,4
227,103.56395980541879,1.83,4
228,103.56395980541879,1.82,4
