solution_id,distance,workload_fairness,relocated_offices
0,154.615221487796,0.013875425000000104,0
1,166.5335545841666,0.0033776900000000013,0
2,106.7132327169449,0.010733825000000023,1
3,114.94458093965926,3.4045000000006305e-05,1
4,105.05653000684546,0.01073382500000001,2
5,111.7905994757414,3.4045000000006305e-05,2
6,103.62671041188813,0.011413224999999964,3
7,110.97119752528224,3.4044999999981586e-05,3
8,103.56395980541879,0.011413225000000068,4
9,110.97119752528226,3.404499999997909e-05,4
